name,classes,controllers,size,stars,forks,language,subscribers,open_issues,user,repo,gpt_Clustering_Method,gpt_CHM,gpt_CHD,gpt_IFN,gpt_CMQ,gpt_ccoh,gpt_ccop,gpt_SMQ,gpt_scoh,gpt_scop,gpt_SERVICES,gpt_time,o_Clustering_Method,o_CHM,o_CHD,o_IFN,o_CMQ,o_ccoh,o_ccop,o_SMQ,o_scoh,o_scop,o_SERVICES,o_time,Clustering_Method,W_CHM,W_CHD,W_IFN,W_CMQ,W_ccoh,W_ccop,W_SMQ,W_scoh,W_scop,W_SERVICES,W_time,t_CHM,t_CHD,t_IFN,t_CMQ,t_ccoh,t_ccop,t_SMQ,t_scoh,t_scop,t_SERVICES,t_clustering_names,t_time
huanglu20124/invoice,73,12,78906,95,55,Java,11,2,huanglu20124,invoice,KMeans_34,0.875,0.75,1,0.7613670294,0.7614845938,1.18E-04,0.084017698,0.2067927171,0.1227750191,34,288.73,KMeans_32,0.875,0.75,1,0.7165447234,0.7166666667,1.22E-04,0.083574149,0.221875,0.1383008513,32,65.33,KMeans_35,0.875,0.75,1,0.680856343,0.680952381,9.60E-05,-0.136619981,0.165714286,0.302334267,KMeans_35,39.14,0.932358512,0.365675134,1,0.387590832,0.388866342,0.00127551,0.244368067,0.313906926,0.06953886,8,L,24.6
Lab41/Dendrite,101,17,6344,92,25,JavaScript,13,18,Lab41,Dendrite,KMeans_39,0.8265151515,0.8333258177,1.181818182,0.7717920943,0.7719468984,1.55E-04,0.1254302289,0.1431929182,0.017762689,39,367.74,KMeans_48,0.7641203704,0.7711162551,1.083333333,0.7837201213,0.7838293651,1.09E-04,0.1363322674,0.1721230159,0.035790748,48,93.66,KMeans_48,0.772979798,0.810914703,1.181818182,0.808091874,0.808234127,0.000142253,-0.04337182,0.107638889,0.151010709,KMeans_48,55.06,0.605226427,0.468580964,4.333333333,-0.151046699,0.182286634,0.333333333,0.027345008,0.108011272,0.080666264,3,L,24.72
pibigstar/parsevip,90,17,17399,87,28,Java,3,0,pibigstar,parsevip,KMeans_37,0.875,0.6987231518,1,0.9098377657,0.9099099099,7.21E-05,0.1883133133,0.2162162162,0.0279029029,37,250.68,KMeans_39,0.875,0.6987231518,1,0.9401090185,0.9401709402,6.19E-05,0.150359874,0.1794871795,0.02912730544,39,68.76,KMeans_45,0.875,0.698723152,1,0.959950005,0.96,5.00E-05,0.014949495,0.046666667,0.031717172,KMeans_45,33.62,0.851923077,0.42348677,1.230769231,0.401528258,0.401960784,0.000432526,0.418535539,0.419607843,0.001072304,17,L,23.4
OCR4all/OCR4all,47,18,3648,86,15,JavaScript,22,13,OCR4all,OCR4all,KMeans_23,0.8294353618,0.9609115859,1,0.676800212,0.6786749482,0.001874736,0.3365832235,0.4074534161,0.070870193,23,305.66,KMeans_23,0.8294353618,0.9609115859,1,0.6821832346,0.684057971,0.001874736,0.3373847167,0.4086956522,0.071310935,23,77.03,KMeans_20,0.829435362,0.960911586,1,0.705632173,0.708928571,0.003296399,0.366245301,0.44125,0.075004699,KMeans_20,47.31,0.83301312,0.84709253,2.833333333,0.435276481,0.448609814,0.013333333,0.305459591,0.317187986,0.011728395,6,L,24.62
Vino007/javaEEScaffold,45,21,7221,84,53,JavaScript,14,2,Vino007,javaEEScaffold,KMeans_16,0.7166666667,0.7714285714,1,0.8254166667,0.8270833333,0.001666667,0.1036458333,0.1916666667,0.088020833,16,154.32,KMeans_21,0.7166666667,0.7714285714,1,0.903922902,0.9047619048,0.000839002,-0.00515873,0.1666666667,0.1718253968,21,43.87,KMeans_20,0.669444444,0.733333333,1.166666667,0.782280702,0.783333333,0.001052632,-0.310197368,0.041666667,0.351864035,KMeans_20,27.11,0.845916876,0.642610314,1.75,0.402197802,0.513308913,0.111111111,0.084371184,0.096336996,0.011965812,3,L,23.31
GdeiAssistant/GdeiAssistant,455,84,18586,79,38,Java,7,0,GdeiAssistant,GdeiAssistant,KMeans_77,0.7870940847,0.919705003,1.315789474,0.5594702622,0.5594917538,2.15E-05,0.2824026092,0.2880126329,0.005610024,77,1367.54,KMeans_79,0.7628904429,0.911986825,1.363636364,0.5700665275,0.5700890715,2.25E-05,0.2925473095,0.2994466929,0.006899383,79,324.01,KMeans_79,0.790311012,0.914397065,1.293103448,0.511002788,0.511026175,2.34E-05,0.304709955,0.318010576,0.013300621,KMeans_79,148.51,0.751601695,0.740504514,2.027027027,0.453774236,0.454097066,0.000322831,0.229173677,0.23180812,0.002634443,33,L,28.8
JoeyBling/bootplus,150,13,40245,58,23,JavaScript,3,0,JoeyBling,bootplus,KMeans_74,0.6814574315,0.3823376623,1,0.9189069936,0.918918919,1.19E-05,0.1296741947,0.1599099099,0.03023571517,74,402.28,KMeans_53,0.6814574315,0.3823376623,1,0.7938661616,0.7938903863,2.42E-05,0.2524310595,0.2750224618,0.022591402,53,102.65,KMeans_68,0.681457431,0.382337662,1,0.879880763,0.879901961,2.12E-05,0.079675154,0.132352941,0.052677788,KMeans_68,64.03,0.707044014,0.213889626,1.571428571,0.720265754,0.720328245,6.25E-05,0.226061922,0.229903285,0.003841363,23,L,25.5
forTribeforXuanmo/sword-forum,79,12,9186,57,29,JavaScript,1,4,forTribeforXuanmo,sword-forum,KMeans_39,0.6904761905,0.4761904762,1,0.8461101368,0.8461538462,4.37E-05,-0.115272155,0.08974359,0.2050157445,39,242.07,KMeans_32,0.6904761905,0.4761904762,1,0.656176834,0.65625,7.32E-05,0.041498656,0.1875,0.1460013441,32,57.1,KMeans_39,0.69047619,0.476190476,1,0.794829907,0.794871795,4.19E-05,-0.178475034,0.051282051,0.229757085,KMeans_39,33.87,0.743324563,0.231156236,1.75,0.054927426,0.084927426,0.03,0.103886873,0.205457729,0.101570856,5,L,23.84
superman544/JavaOJSystem,192,20,6748,47,25,JavaScript,4,2,superman544,JavaOJSystem,KMeans_70,0.3736243386,0.827422,1.2,0.7282833953,0.728310658,2.73E-05,0.2207505587,0.2335487528,0.01279819416,70,646.26,KMeans_79,0.3777529762,0.8128333451,1.125,0.747448128,0.7474683544,2.02E-05,0.2001656659,0.214416315,0.01425064914,79,160.23,KMeans_75,0.413227513,0.832453861,1,0.787820036,0.787851852,3.18E-05,0.17775025,0.222,0.04424975,KMeans_75,110.91,0.509026574,0.427907406,2.571428571,0.298816736,0.303408104,0.004591368,0.202669412,0.207005601,0.004336189,12,L,25.33
iminto/baicai,84,12,23464,41,29,HTML,8,0,iminto,baicai,KMeans_22,0.95,0.4,1,0.9089222466,0.9090909091,0.000168663,-0.001443001,0.1136363636,0.1150793651,22,150.62,KMeans_19,0.95,0.4,1,0.8068807496,0.8070175439,0.000136794,0.05994152047,0.1842105263,0.1242690058,19,45.82,KMeans_19,0.95,0.4,1,0.824356212,0.824561404,0.000205191,0.109649123,0.184210526,0.074561404,KMeans_19,27.72,0.947474747,0.370707071,1.111111111,0.37755102,0.37755102,0,0.297902494,0.31037415,0.012471655,7,L,24.48
