name,classes,controllers,size,stars,forks,language,subscribers,open_issues,user,repo,gpt_Clustering_Method,gpt_CHM,gpt_CHD,gpt_IFN,gpt_CMQ,gpt_ccoh,gpt_ccop,gpt_SMQ,gpt_scoh,gpt_scop,gpt_SERVICES,gpt_time,o_Clustering_Method,o_CHM,o_CHD,o_IFN,o_CMQ,o_ccoh,o_ccop,o_SMQ,o_scoh,o_scop,o_SERVICES,o_time
huanglu20124/invoice,73,12,78906,95,55,Java,11,2,huanglu20124,invoice,KMeans_34,0.875,0.75,1,0.761367029,0.761484594,1.18E-04,0.084017698,0.206792717,0.122775019,34,288.73,KMeans_32,0.875,0.75,1,0.716544723,0.716666667,1.22E-04,0.083574149,0.221875,0.138300851,32,65.33
Lab41/Dendrite,101,17,6344,92,25,JavaScript,13,18,Lab41,Dendrite,KMeans_39,0.826515152,0.833325818,1.181818182,0.771792094,0.771946898,1.55E-04,0.125430229,0.143192918,0.017762689,39,367.74,KMeans_48,0.76412037,0.771116255,1.083333333,0.783720121,0.783829365,1.09E-04,0.136332267,0.172123016,0.035790748,48,93.66
pibigstar/parsevip,90,17,17399,87,28,Java,3,0,pibigstar,parsevip,KMeans_37,0.875,0.698723152,1,0.909837766,0.90990991,7.21E-05,0.188313313,0.216216216,0.027902903,37,250.68,KMeans_39,0.875,0.698723152,1,0.940109019,0.94017094,6.19E-05,0.150359874,0.17948718,0.029127305,39,68.76
OCR4all/OCR4all,47,18,3648,86,15,JavaScript,22,13,OCR4all,OCR4all,KMeans_23,0.829435362,0.960911586,1,0.676800212,0.678674948,0.001874736,0.336583224,0.407453416,0.070870193,23,305.66,KMeans_23,0.829435362,0.960911586,1,0.682183235,0.684057971,0.001874736,0.337384717,0.408695652,0.071310935,23,77.03
Vino007/javaEEScaffold,45,21,7221,84,53,JavaScript,14,2,Vino007,javaEEScaffold,KMeans_16,0.716666667,0.771428571,1,0.825416667,0.827083333,0.001666667,0.103645833,0.191666667,0.088020833,16,154.32,KMeans_21,0.716666667,0.771428571,1,0.903922902,0.904761905,0.000839002,-0.00515873,0.166666667,0.171825397,21,43.87
GdeiAssistant/GdeiAssistant,455,84,18586,79,38,Java,7,0,GdeiAssistant,GdeiAssistant,KMeans_77,0.787094085,0.919705003,1.315789474,0.559470262,0.559491754,2.15E-05,0.282402609,0.288012633,0.005610024,77,1367.54,KMeans_79,0.762890443,0.911986825,1.363636364,0.570066528,0.570089072,2.25E-05,0.29254731,0.299446693,0.006899383,79,324.01
JoeyBling/bootplus,150,13,40245,58,23,JavaScript,3,0,JoeyBling,bootplus,KMeans_74,0.681457432,0.382337662,1,0.918906994,0.918918919,1.19E-05,0.129674195,0.15990991,0.030235715,74,402.28,KMeans_53,0.681457432,0.382337662,1,0.793866162,0.793890386,2.42E-05,0.25243106,0.275022462,0.022591402,53,102.65
forTribeforXuanmo/sword-forum,79,12,9186,57,29,JavaScript,1,4,forTribeforXuanmo,sword-forum,KMeans_39,0.690476191,0.476190476,1,0.846110137,0.846153846,4.37E-05,-0.115272155,0.08974359,0.205015745,39,242.07,KMeans_32,0.690476191,0.476190476,1,0.656176834,0.65625,7.32E-05,0.041498656,0.1875,0.146001344,32,57.1
superman544/JavaOJSystem,192,20,6748,47,25,JavaScript,4,2,superman544,JavaOJSystem,KMeans_70,0.373624339,0.827422,1.2,0.728283395,0.728310658,2.73E-05,0.220750559,0.233548753,0.012798194,70,646.26,KMeans_79,0.377752976,0.812833345,1.125,0.747448128,0.747468354,2.02E-05,0.200165666,0.214416315,0.014250649,79,160.23
iminto/baicai,84,12,23464,41,29,HTML,8,0,iminto,baicai,KMeans_22,0.95,0.4,1,0.908922247,0.909090909,0.000168663,-0.001443001,0.113636364,0.115079365,22,150.62,KMeans_19,0.95,0.4,1,0.80688075,0.807017544,0.000136794,0.05994152,0.184210526,0.124269006,19,45.82
Jannchie/biliob_backend,200,22,1111,37,11,Java,0,4,Jannchie,biliob_backend,KMeans_77,0.690096618,0.776604555,1,0.794010745,0.794018103,7.36E-06,0.283741853,0.290791027,0.007049174,77,621.43,KMeans_73,0.690096618,0.776604555,1,0.750980948,0.750989346,8.40E-06,0.290231006,0.299695586,0.00946458,73,144.79
Lotharing/SDIMS,112,20,799,34,7,Java,0,6,Lotharing,SDIMS,KMeans_50,1,0.70001462,1,0.75641877,0.756666667,2.48E-04,0.167882653,0.231666667,0.063784014,50,338.22,KMeans_54,1,0.70001462,1,0.84651639,0.846707819,1.91E-04,0.104713422,0.18287037,0.078156948,54,94.59
kanban/kanban-app,140,12,1380,34,23,Java,9,5,kanban,kanban-app,KMeans_29,0.638556104,0.921928924,1,0.8641622,0.864295666,1.33E-04,0.154635953,0.181233517,0.026597564,29,318.49,KMeans_54,0.638556104,0.921928924,1,0.944400494,0.944444444,4.40E-05,0.067813883,0.135802469,0.067988586,54,86.33
cloudfoundry-attic/login-server,133,23,7777,32,52,Java,77,3,cloudfoundry-attic,login-server,KMeans_40,0.822222222,0.829657477,1,0.974927679,0.975,7.23E-05,0.103632479,0.133333333,0.029700855,40,262.57,KMeans_42,0.822222222,0.829657477,1,0.968186521,0.968253968,6.74E-05,0.087591947,0.119047619,0.031455672,42,68.4
tangdu/smh2,111,25,92244,27,22,JavaScript,7,0,tangdu,smh2,KMeans_54,0.700956094,0.879337232,1.222222222,0.817850447,0.817901235,5.08E-05,0.226783912,0.25617284,0.029388928,54,388.36,KMeans_53,0.692652361,0.879337232,1.222222222,0.876672684,0.87672956,5.69E-05,0.215303983,0.244968554,0.02966457,53,112.3
qiao-zhi/jwxt,595,76,25888,26,8,Java,7,2,qiao-zhi,jwxt,KMeans_76,0.55500034,0.81161299,1.631578947,0.327455582,0.327673003,0.000217421,0.222283326,0.222436438,0.000153112,76,2954.52,KMeans_77,0.518783812,0.745183412,2.48,0.326792315,0.327009451,0.000217135,0.250898995,0.251031215,0.00013222,77,698.79
shuxianfeng/movision,886,80,33626,21,20,Java,2,0,shuxianfeng,movision,KMeans_74,0.989663102,0.607776018,8.875,0.51771158,0.517744614,3.30E-05,0.3170401,0.318627871,0.001587771,74,2724.56,KMeans_77,0.967040095,0.647155329,10.14285714,0.521643807,0.521676512,3.27E-05,0.329444253,0.330806065,0.001361812,77,637.99
leluque/university-site-cms,254,23,35036,21,13,JavaScript,8,9,leluque,university-site-cms,KMeans_79,0.65099359,0.827797515,1,0.808312757,0.808338356,2.56E-05,0.223798329,0.237768736,0.013970407,79,705.86,KMeans_76,0.639036427,0.818150407,1.111111111,0.791844128,0.791875522,3.14E-05,0.189888773,0.203931704,0.014042931,76,160.79
ghostxbh/uzy-ssm-mall,89,19,10103,19,11,Java,1,0,ghostxbh,uzy-ssm-mall,KMeans_44,0.80914787,0.795044768,1.285714286,0.839230796,0.839393939,1.63E-04,0.219500235,0.275757576,0.056257341,44,324.69,KMeans_42,0.824093567,0.808739315,1.2,0.785528132,0.785714286,1.86E-04,0.256855723,0.317460318,0.060604594,42,96.28
kai8406/cmop,237,34,17904,17,13,Java,8,1,kai8406,cmop,KMeans_78,0.763007055,0.805820106,1.259259259,0.799607184,0.799632134,2.50E-05,0.163718153,0.189230926,0.025512773,78,747.76,KMeans_75,0.760645098,0.815462423,1.259259259,0.741447458,0.741481482,3.40E-05,0.19098309,0.225306397,0.034323307,75,177.82
mozammel/mNet,148,21,2666,15,14,JavaScript,13,3,mozammel,mNet,KMeans_66,0.662263508,0.764405193,1,0.951991295,0.952020202,2.89E-05,0.160026548,0.194444444,0.034417897,66,407.05,KMeans_64,0.662263508,0.764405193,1,0.898405022,0.8984375,3.25E-05,0.208901703,0.233072917,0.024171214,64,107.58
easy-ware/api-manager,181,90,21297,15,7,Java,4,5,easy-ware,api-manager,KMeans_79,0.839742064,0.943055556,1,0.904569083,0.90464135,7.23E-05,0.139936979,0.189873418,0.049936438,79,516.01,KMeans_63,0.839742064,0.943055556,1,0.791925587,0.792063492,0.000137905,0.247745634,0.287301587,0.039555954,63,139.42
lvr1997/ershoujiaoyi,78,11,8678,14,7,Java,0,7,lvr1997,ershoujiaoyi,KMeans_39,0.851503759,0.831644737,1.1,0.905578594,0.905982906,0.000404312,0.171127605,0.256410256,0.085282651,39,287.84,KMeans_39,0.851503759,0.831644737,1.1,0.879870183,0.88034188,0.000471697,0.199955016,0.286324786,0.086369771,39,83.88
GZzzhsmart/P2Pproj,275,42,98201,13,8,JavaScript,1,4,GZzzhsmart,P2Pproj,KMeans_72,0.512959021,0.661810355,1.057142857,0.652376895,0.652408274,3.14E-05,0.370646394,0.377215785,0.006569391,72,828.41,KMeans_78,0.512502684,0.669534422,1.15625,0.667653933,0.667685093,3.12E-05,0.395598189,0.403764291,0.008166102,78,188.98
HIIT/dime-server,91,12,97425,13,7,Java,27,23,HIIT,dime-server,KMeans_44,0.554617331,0.859835248,1,0.784043977,0.784090909,4.69E-05,0.113702431,0.150757576,0.037055144,44,339.97,KMeans_45,0.554617331,0.859835248,1,0.699221508,0.699259259,3.78E-05,0.16581229,0.191851852,0.026039562,45,108.62
doooyo/Weixin_Server,303,32,4538,13,11,Java,4,0,doooyo,Weixin_Server,KMeans_78,0.864400013,0.880970047,1.117647059,0.730751932,0.730769231,1.73E-05,0.214254496,0.256623932,0.042369436,78,529.73,KMeans_75,0.858965583,0.871853033,1.1875,0.731090723,0.731111111,2.04E-05,0.231706707,0.273333333,0.041626627,75,138.1
fishstormX/fishmaple,173,21,5532,11,1,JavaScript,2,6,fishstormX,fishmaple,KMeans_74,0.850566893,0.817888637,1,0.825216453,0.825225225,8.77E-06,0.162730882,0.196621622,0.03389074,74,545.87,KMeans_73,0.850566893,0.817888637,1,0.758894843,0.75890411,9.27E-06,0.216140813,0.253881279,0.037740466,73,116.08
opendevstack/ods-provisioning-app,146,11,1516,11,15,Java,26,47,opendevstack,ods-provisioning-app,KMeans_57,0.448958333,0.554672619,1,0.831751502,0.831773879,2.24E-05,0.207463102,0.232261209,0.024798106,57,439.18,KMeans_73,0.448958333,0.554672619,1,0.898874557,0.898891063,1.65E-05,0.110243622,0.151663405,0.041419783,73,107.77
starqiu/RDMP1,60,30,24114,10,12,Java,5,0,starqiu,RDMP1,KMeans_17,0.6,0.654285714,1,0.744178922,0.745098039,0.000919118,0.065563725,0.235294118,0.169730392,17,144.92,KMeans_16,0.6,0.654285714,1,0.686458333,0.6875,0.001041667,0.181481482,0.28125,0.099768519,16,43.13
yorkmass/Yark-AdminMS,69,12,41214,9,0,JavaScript,1,1,yorkmass,Yark-AdminMS,KMeans_34,0.619642857,0.66847194,1,0.85281408,0.852941177,0.000127097,0.12188057,0.191176471,0.0692959,34,227.83,KMeans_31,0.619642857,0.66847194,1,0.827795121,0.827956989,0.000161868,0.108422939,0.180107527,0.071684588,31,54.24
768330962/poet_ready_system,57,14,1629,8,5,HTML,0,3,768330962,poet_ready_system,KMeans_16,0.940476191,0.471851436,1,0.923402778,0.927083333,0.003680556,0.277951389,0.322916667,0.044965278,16,248.13,KMeans_15,0.940476191,0.471851436,1,0.884353742,0.888888889,0.004535147,0.309126984,0.338888889,0.029761905,15,61.3
suyeq/steamMall,120,13,6524,8,2,CSS,2,2,suyeq,steamMall,KMeans_56,0.977941177,0.670787599,1,0.810651037,0.810714286,6.32E-05,0.157393579,0.192261905,0.034868326,56,419.7,KMeans_60,0.977941177,0.670787599,1,0.808832392,0.808888889,5.65E-05,0.175559087,0.220833333,0.045274247,60,112.29
zlren/noah-health,86,12,320,8,6,Java,3,0,zlren,noah-health,KMeans_28,0.906073724,0.967471822,1,0.859068895,0.85952381,0.000454914,0.156525573,0.265476191,0.108950617,28,245.49,KMeans_29,0.906073724,0.967471822,1,0.863973485,0.864367816,0.000394331,0.176939655,0.273563218,0.096623563,29,76.53
khasang/delivery,218,11,7443,6,6,Java,8,5,khasang,delivery,KMeans_59,0.797698413,0.779264069,1,0.853683319,0.853714745,3.14E-05,0.274173507,0.27672562,0.002552114,59,690.22,KMeans_70,0.797698413,0.779264069,1,0.893823853,0.893845285,2.14E-05,0.25368185,0.257287785,0.003605935,70,136.8
TexnologiaLogismikou/Fiz,199,18,1160,6,0,Java,5,3,TexnologiaLogismikou,Fiz,KMeans_51,0.728409091,0.731845238,1,0.946278508,0.946405229,0.00012672,0.120721569,0.194117647,0.073396078,51,407.08,KMeans_52,0.728409091,0.731845238,1,0.958863455,0.958974359,0.000110904,0.11293992,0.187179487,0.074239568,52,98.96
